,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,1.1051912668609618,1.0993675022125244,0.6248800000000001,0.6324000000000001
1,2,0.9452204303741455,1.0092942459106444,0.6832,0.659
2,3,0.8900338696289063,0.920180297088623,0.7034800000000001,0.6918000000000001
3,4,0.852986229133606,0.9970333988189697,0.7120000000000001,0.6633
4,5,0.8246810258483886,0.8737897211074829,0.7221200000000001,0.7054
5,6,0.8136712659072876,0.8488028791427612,0.72684,0.7179
6,7,0.7965994243049621,0.774203197479248,0.7330000000000001,0.7393000000000001
7,8,0.6354208069324493,0.5574715416908265,0.7904000000000001,0.8138000000000001
8,9,0.5638586638450622,0.540254024887085,0.8119000000000001,0.8177000000000001
9,10,0.537837430934906,0.5326113372802734,0.8215600000000001,0.8193
10,11,0.5171526155853271,0.5248951120853425,0.82884,0.8216
11,12,0.5010424949836731,0.5041317112922669,0.83374,0.8291000000000001
12,13,0.48819561584472654,0.5010930048465729,0.83742,0.8331000000000001
13,14,0.47171698722839356,0.48777474269866944,0.8442400000000001,0.8353
14,15,0.4377604619026184,0.4695075975894928,0.85526,0.8423
15,16,0.43096354050636293,0.46830096259117127,0.8566400000000001,0.8435
16,17,0.41968912693977356,0.4646119022846222,0.8614,0.8435
17,18,0.4160750772666931,0.462905641078949,0.8638600000000001,0.8454
18,19,0.4076393749427795,0.463692441034317,0.86582,0.8459
19,20,0.4060530809211731,0.46133901319503784,0.8658000000000001,0.8470000000000001
