,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,1.2587845099639892,1.2455365234375,0.6044200000000001,0.6111
1,2,1.4237233094787598,1.500375433731079,0.64412,0.6242
2,3,1.45453283203125,1.5347829311370849,0.67352,0.6555000000000001
3,4,1.4831855395507811,1.5018527257919312,0.68722,0.6743
4,5,1.5203951627731322,1.4932977102279663,0.6945600000000001,0.6998000000000001
5,6,1.5455105234909057,1.542040718460083,0.70272,0.7015
6,7,1.5892435735702515,1.5838401010513306,0.7036,0.7006
7,8,1.4646361154174805,1.3906039859771728,0.76122,0.7798
8,9,1.4192828858566284,1.378452013206482,0.78068,0.7848
9,10,1.4061550576782227,1.3735315086364746,0.78668,0.7912
10,11,1.398342419166565,1.370367859840393,0.79264,0.7943
11,12,1.3760191918563842,1.357050895690918,0.7969200000000001,0.8049000000000001
12,13,1.357046216278076,1.3502884351730347,0.80178,0.8012
13,14,1.3438570431137085,1.3314333591461183,0.8043600000000001,0.8088000000000001
14,15,1.308426418838501,1.3145828342437744,0.81418,0.8105
15,16,1.2912055527114867,1.3124303520202636,0.81766,0.8106
16,17,1.28445901638031,1.310577698135376,0.82052,0.8105
17,18,1.2766898349761964,1.3090355169296264,0.8198200000000001,0.8138000000000001
18,19,1.2781444704818725,1.3059079515457153,0.82208,0.8134
19,20,1.2728453812026979,1.302920399093628,0.82154,0.8160000000000001
