,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,0.8161282564202944,0.4531015336513519,0.8153166666666667,0.913
1,2,0.5874354531367619,0.43365457355976106,0.92005,0.9510000000000001
2,3,0.5251912385225296,0.42542941570281984,0.9415,0.9570000000000001
3,4,0.501866847773393,0.4068121001124382,0.9508166666666668,0.9650000000000001
4,5,0.4856759215394656,0.3880803793668747,0.95555,0.9699000000000001
5,6,0.48027801464001335,0.37974129915237426,0.9596333333333333,0.9743
6,7,0.47589160203933717,0.4012714147567749,0.9613333333333334,0.9704
7,8,0.4324269031484922,0.3464618965983391,0.9681333333333334,0.9780000000000001
8,9,0.4052789310614268,0.34691426157951355,0.97285,0.9787
9,10,0.4042167097330093,0.3497215986251831,0.9741833333333334,0.9799
10,11,0.40918897340695065,0.35415069609880445,0.9750833333333334,0.9811000000000001
11,12,0.40489066888888675,0.3533129721879959,0.9764333333333334,0.9809
12,13,0.40091797361771264,0.35332955718040465,0.97635,0.9813000000000001
13,14,0.39273883601029713,0.3500519677996635,0.9770166666666668,0.9813000000000001
14,15,0.38918750087420145,0.34183932840824127,0.9779666666666668,0.9823000000000001
15,16,0.38112758100032806,0.3410204514861107,0.9784333333333334,0.9827
16,17,0.3798261339465777,0.3410351023077965,0.9779500000000001,0.9824
17,18,0.37766164491573967,0.3403691127896309,0.9784666666666667,0.9823000000000001
18,19,0.3740832750995954,0.3408438846468925,0.9796333333333334,0.9827
19,20,0.3745352253317833,0.3396632730960846,0.9791000000000001,0.9834
20,21,0.3733234281341235,0.34009211510419846,0.9793333333333334,0.9832000000000001
21,22,0.37170244952042897,0.3399506390094757,0.9800666666666668,0.9832000000000001
22,23,0.37193733056386313,0.3398939460515976,0.97965,0.9832000000000001
23,24,0.37243594924608864,0.3398870721459389,0.9793666666666667,0.9831000000000001
24,25,0.368999474744002,0.33977932631969454,0.9801500000000001,0.9832000000000001
25,26,0.3714635675152143,0.33981313109397887,0.9791000000000001,0.9829
26,27,0.36949340055386226,0.3397506833076477,0.9799166666666668,0.9832000000000001
27,28,0.36978834321101506,0.3394379511475563,0.9797333333333333,0.9830000000000001
28,29,0.3730474824706713,0.33942529410123823,0.9799833333333334,0.9830000000000001
29,30,0.3708979104955991,0.33942157328128814,0.9794333333333334,0.9830000000000001
30,31,0.37306038637955985,0.33941773027181626,0.9798833333333333,0.9831000000000001
31,32,0.37378757894039155,0.3394059017300606,0.9795333333333334,0.9831000000000001
32,33,0.36970120916763943,0.3394205704331398,0.9793000000000001,0.9831000000000001
33,34,0.3727405220270157,0.33941942900419236,0.9792333333333334,0.9831000000000001
34,35,0.3707947755853335,0.3393813416361809,0.9793833333333334,0.9831000000000001
35,36,0.37219386200110116,0.3393775254487991,0.9795833333333334,0.9831000000000001
36,37,0.3707911973198255,0.3393764361739159,0.9793166666666667,0.9831000000000001
37,38,0.37141697853803635,0.3393756702542305,0.9794,0.9831000000000001
38,39,0.37416845311721164,0.33937292248010636,0.9790500000000001,0.9831000000000001
39,40,0.37222887923320136,0.3393717691302299,0.9793833333333334,0.9831000000000001
40,41,0.36946937143802644,0.33937161415815353,0.9800166666666668,0.9831000000000001
41,42,0.3701468442877134,0.339370059967041,0.97985,0.9831000000000001
42,43,0.3726145550608635,0.3393701329827309,0.9798,0.9831000000000001
43,44,0.3714217816789945,0.339370134472847,0.9795666666666667,0.9831000000000001
44,45,0.3727825899918874,0.3393701508641243,0.9790500000000001,0.9831000000000001
45,46,0.3712292219201724,0.339370034635067,0.9799833333333334,0.9831000000000001
46,47,0.36971571544806164,0.33937009871006013,0.9796166666666667,0.9831000000000001
47,48,0.37142769793669383,0.33936999887228014,0.9798333333333333,0.9831000000000001
48,49,0.3711328417062759,0.3393699511885643,0.9797833333333333,0.9831000000000001
49,50,0.37090755899747213,0.3393699571490288,0.9800500000000001,0.9831000000000001
