,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,9.598192846673166,7.419938281249999,0.10259748931623931,0.1028
1,2,4.745430001336286,1.918097705078125,0.10473424145299146,0.2045
2,3,0.28821831577035606,0.049054749145507816,0.7862747061965812,0.9672
3,4,0.05506360201308361,0.03241011474609375,0.9723724626068376,0.9831
4,5,0.04200131789598073,0.027822117614746095,0.9826055021367521,0.9868
5,6,0.0359655008969717,0.02599480041503906,0.9867454594017094,0.9882
6,7,0.031874559521197506,0.022362316894531248,0.9891326121794872,0.9896
