,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,1.3296994401931763,1.2428390880584717,0.60084,0.6407
1,2,1.5353894889450073,1.5109876514434815,0.6511600000000001,0.657
2,3,1.5660977124786377,1.5989549648284913,0.68422,0.673
3,4,1.6113383895492555,1.6111523889541626,0.69872,0.6917
4,5,1.63948053691864,1.5828398639678956,0.7125400000000001,0.7246
5,6,1.684366636428833,1.7852977073669434,0.7176400000000001,0.6888000000000001
6,7,1.7190681507492065,1.7015318126678467,0.7225800000000001,0.7281000000000001
7,8,1.5780790036392212,1.4865030225753784,0.77248,0.7943
8,9,1.5223014923477174,1.4668372606277467,0.7941800000000001,0.8025
9,10,1.5073111971664428,1.4733338457107543,0.8020200000000001,0.8052
10,11,1.495394647216797,1.4802284786224364,0.80764,0.8089000000000001
11,12,1.4735415532684326,1.4582088594436646,0.81454,0.8136
12,13,1.438477194747925,1.450056003189087,0.81908,0.8154
13,14,1.4323847146224975,1.4372608491897583,0.8202200000000001,0.8173
14,15,1.3834290667343139,1.4136241750717162,0.8320200000000001,0.8228000000000001
15,16,1.3700599825668336,1.4034035503387452,0.8330200000000001,0.8235
16,17,1.3697208392715454,1.4099711044311523,0.8344,0.8215
17,18,1.353599144821167,1.404903263092041,0.83708,0.8246
18,19,1.3503363608932495,1.394515955734253,0.8372200000000001,0.8278000000000001
19,20,1.3429976218795776,1.398599785232544,0.8388200000000001,0.8262
