,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.906,0.908,0.906,0.905,0.16766601562500005,0.06591804477199913,78.965,0.6950242192418792
1,0.914,0.915,0.914,0.914,0.14897937011718754,0.054280844178050756,50.586,0.6950242192418792
2,0.906,0.907,0.906,0.906,0.16575488281249995,0.06303222274780274,82.271,0.6950242192418792
3,0.907,0.909,0.907,0.907,0.17506713867187496,0.07819981002807617,48.185,0.6950242192418792
4,0.914,0.915,0.914,0.913,0.1556050415039063,0.06280293872952461,84.037,0.6950242192418792
