,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.912,0.914,0.912,0.912,0.1451788940429688,0.014179681681096554,3.139,0.9052251545055822
1,0.909,0.911,0.909,0.908,0.14859570312500003,0.014926277801394463,2.134,0.9052251545055822
2,0.905,0.906,0.905,0.904,0.15736999511718752,0.014011327557265758,2.111,0.9052251545055822
3,0.91,0.91,0.91,0.91,0.1450182495117187,0.018998321205377578,2.141,0.9052251545055822
4,0.912,0.913,0.912,0.911,0.14187799072265628,0.01690911691635847,2.155,0.9052251545055822
