,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,0.402412386983633,0.20192659199237822,0.7817166666666667,0.9029
1,2,0.3223857718209426,0.23120331913232803,0.8913000000000001,0.9278000000000001
2,3,0.29879548052946725,0.21785091161727904,0.9188500000000001,0.9495
3,4,0.29331725016236304,0.23257456868886947,0.9298000000000001,0.9514
4,5,0.2890730373561382,0.22336362302303314,0.9376500000000001,0.9616
5,6,0.2848175637423992,0.2219779074192047,0.9414,0.9599000000000001
6,7,0.2822551528612773,0.22888693064451218,0.9458166666666667,0.9624
7,8,0.24498773813247682,0.1897629238665104,0.9564166666666667,0.9707
8,9,0.23046633799870808,0.19166653379797935,0.9616166666666667,0.9724
9,10,0.2317805935939153,0.19850147888064384,0.9630000000000001,0.9724
10,11,0.23551349043846131,0.19715602323412895,0.9636166666666667,0.9736
11,12,0.23380747040112812,0.19710672944784163,0.96455,0.9735
12,13,0.23107730348904928,0.19672468006610871,0.9651166666666667,0.9741000000000001
13,14,0.22959339693188668,0.19695449844002724,0.9659666666666668,0.9737
14,15,0.22104241997003554,0.1907049722969532,0.9667833333333333,0.9752000000000001
15,16,0.2163429116209348,0.18986639529466628,0.9674666666666667,0.9752000000000001
16,17,0.21497214411695797,0.18917785957455635,0.9678333333333334,0.9761000000000001
17,18,0.2144500454266866,0.18913507238030433,0.9680000000000001,0.9763000000000001
18,19,0.21394062638282776,0.187995545566082,0.9682666666666667,0.9763000000000001
19,20,0.2111383783320586,0.18723423779010773,0.9683,0.9768
20,21,0.21165324300527572,0.18795937225222586,0.9688666666666668,0.9763000000000001
21,22,0.2113559700548649,0.1875135198235512,0.9687666666666667,0.9762000000000001
22,23,0.20973229582111041,0.18737722858786582,0.9689666666666668,0.9762000000000001
23,24,0.20985066468516986,0.18714377284049988,0.9690166666666667,0.9765
24,25,0.2121013936897119,0.18701379448175431,0.9688333333333334,0.9762000000000001
25,26,0.21112817277510962,0.18706367984414102,0.9686333333333333,0.9764
26,27,0.2103094734251499,0.18705201670527458,0.9684666666666667,0.9764
27,28,0.210084368288517,0.18690610080957412,0.9694,0.9762000000000001
28,29,0.21113639747103055,0.18689435794949533,0.9689500000000001,0.9762000000000001
29,30,0.2105698123574257,0.1868827074766159,0.9682666666666667,0.9761000000000001
30,31,0.21061834916472436,0.1868790239095688,0.9692833333333334,0.9761000000000001
31,32,0.2102430080374082,0.18687561452388762,0.9683666666666667,0.9760000000000001
32,33,0.208931606511275,0.18687323853373528,0.9690500000000001,0.9762000000000001
33,34,0.21048876494169236,0.18687089830636977,0.9687833333333333,0.9762000000000001
34,35,0.20948884238799412,0.18687044084072113,0.9690833333333334,0.9762000000000001
35,36,0.2083841825524966,0.18687158077955246,0.9687833333333333,0.9762000000000001
36,37,0.20900925224026043,0.18687197417020798,0.9690833333333334,0.9762000000000001
37,38,0.20868961066007613,0.18687146306037902,0.9689000000000001,0.9762000000000001
38,39,0.2092525340616703,0.1868693619966507,0.9685666666666667,0.9762000000000001
39,40,0.21084588194886844,0.18686723709106445,0.9680000000000001,0.9762000000000001
40,41,0.20847876071929933,0.1868654727935791,0.9686666666666667,0.9762000000000001
41,42,0.21095936720569927,0.18686528578400613,0.9691000000000001,0.9762000000000001
42,43,0.2093665619691213,0.18686524406075478,0.9693,0.9762000000000001
43,44,0.2073642912010352,0.1868651770055294,0.96955,0.9762000000000001
44,45,0.21222731918096543,0.18686527535319328,0.9679666666666668,0.9762000000000001
45,46,0.21060033639272055,0.18686528578400613,0.9690500000000001,0.9762000000000001
46,47,0.21066705534855526,0.1868653416633606,0.96855,0.9762000000000001
47,48,0.211628474543492,0.18686530515551567,0.9690166666666667,0.9762000000000001
48,49,0.2092742830514908,0.18686507120728493,0.9690000000000001,0.9762000000000001
49,50,0.20892047782739004,0.18686508014798164,0.9691666666666667,0.9762000000000001
